ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 74, AID: 0, Miner created.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 129, AID: 1, Miner started mining Iron, current capacity: 0/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 111, AID: 0, Miner created.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 142, AID: 1, Miner started mining Copper, current capacity: 0/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 208, AID: 0, Miner created.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 212, AID: 1, Miner started mining Coal, current capacity: 0/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 0, time stamp: 227, AID: 4, Transporter created.
ThreadID: 00e72fe9a37f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 289, AID: 9, Smelter created.
ThreadID: 00d7afe8a37f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 304, AID: 13, Foundry created.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 310, AID: 2, Miner finished mining Iron, current capacity: 1/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 324, AID: 2, Miner finished mining Copper, current capacity: 1/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 371, AID: 2, Miner finished mining Coal, current capacity: 1/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 475, AID: 1, Miner started mining Iron, current capacity: 1/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 489, AID: 1, Miner started mining Copper, current capacity: 1/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 531, AID: 1, Miner started mining Coal, current capacity: 1/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 642, AID: 2, Miner finished mining Iron, current capacity: 2/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 653, AID: 2, Miner finished mining Copper, current capacity: 2/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 703, AID: 2, Miner finished mining Coal, current capacity: 2/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 814, AID: 1, Miner started mining Iron, current capacity: 2/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 821, AID: 1, Miner started mining Copper, current capacity: 2/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 861, AID: 1, Miner started mining Coal, current capacity: 2/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 982, AID: 2, Miner finished mining Iron, current capacity: 3/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 987, AID: 2, Miner finished mining Copper, current capacity: 3/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1030, AID: 2, Miner finished mining Coal, current capacity: 3/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1151, AID: 1, Miner started mining Copper, current capacity: 3/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1152, AID: 1, Miner started mining Iron, current capacity: 3/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1188, AID: 1, Miner started mining Coal, current capacity: 3/20.
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 0, FID: 0, time stamp: 1193, AID: 4, Transporter created.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1344, AID: 2, Miner finished mining Copper, current capacity: 4/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1355, AID: 2, Miner finished mining Iron, current capacity: 4/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1361, AID: 2, Miner finished mining Coal, current capacity: 4/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1549, AID: 1, Miner started mining Coal, current capacity: 4/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1552, AID: 1, Miner started mining Iron, current capacity: 4/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1550, AID: 1, Miner started mining Copper, current capacity: 4/20.
