ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 120, AID: 0, Miner created.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 284, AID: 1, Miner started mining Iron, current capacity: 0/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 152, AID: 0, Miner created.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 341, AID: 1, Miner started mining Copper, current capacity: 0/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 273, AID: 0, Miner created.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 381, AID: 1, Miner started mining Coal, current capacity: 0/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 0, time stamp: 389, AID: 4, Transporter created.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 0, time stamp: 415, AID: 4, Transporter created.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 0, FID: 0, time stamp: 444, AID: 4, Transporter created.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 458, AID: 2, Miner finished mining Iron, current capacity: 1/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 509, AID: 9, Smelter created.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 513, AID: 2, Miner finished mining Copper, current capacity: 1/20.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 535, AID: 13, Foundry created.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 545, AID: 2, Miner finished mining Coal, current capacity: 1/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 642, AID: 1, Miner started mining Iron, current capacity: 1/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 693, AID: 1, Miner started mining Copper, current capacity: 1/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 706, AID: 1, Miner started mining Coal, current capacity: 1/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 819, AID: 2, Miner finished mining Iron, current capacity: 2/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 866, AID: 2, Miner finished mining Copper, current capacity: 2/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 866, AID: 2, Miner finished mining Coal, current capacity: 2/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 997, AID: 1, Miner started mining Iron, current capacity: 2/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1043, AID: 1, Miner started mining Copper, current capacity: 2/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1058, AID: 1, Miner started mining Coal, current capacity: 2/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1175, AID: 2, Miner finished mining Iron, current capacity: 3/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1214, AID: 2, Miner finished mining Copper, current capacity: 3/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1217, AID: 2, Miner finished mining Coal, current capacity: 3/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1353, AID: 1, Miner started mining Iron, current capacity: 3/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1385, AID: 1, Miner started mining Copper, current capacity: 3/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1390, AID: 1, Miner started mining Coal, current capacity: 3/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1528, AID: 2, Miner finished mining Iron, current capacity: 4/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1557, AID: 2, Miner finished mining Copper, current capacity: 4/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1563, AID: 2, Miner finished mining Coal, current capacity: 4/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1703, AID: 1, Miner started mining Iron, current capacity: 4/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1733, AID: 1, Miner started mining Copper, current capacity: 4/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1736, AID: 1, Miner started mining Coal, current capacity: 4/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1878, AID: 2, Miner finished mining Iron, current capacity: 5/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1907, AID: 2, Miner finished mining Copper, current capacity: 5/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1921, AID: 2, Miner finished mining Coal, current capacity: 5/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2055, AID: 1, Miner started mining Iron, current capacity: 5/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2078, AID: 1, Miner started mining Copper, current capacity: 5/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2095, AID: 1, Miner started mining Coal, current capacity: 5/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2218, AID: 2, Miner finished mining Iron, current capacity: 6/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2252, AID: 2, Miner finished mining Copper, current capacity: 6/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2276, AID: 2, Miner finished mining Coal, current capacity: 6/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2379, AID: 1, Miner started mining Iron, current capacity: 6/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2426, AID: 1, Miner started mining Copper, current capacity: 6/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2451, AID: 1, Miner started mining Coal, current capacity: 6/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2554, AID: 2, Miner finished mining Iron, current capacity: 7/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2596, AID: 2, Miner finished mining Copper, current capacity: 7/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2626, AID: 2, Miner finished mining Coal, current capacity: 7/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2730, AID: 1, Miner started mining Iron, current capacity: 7/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2765, AID: 1, Miner started mining Copper, current capacity: 7/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2802, AID: 1, Miner started mining Coal, current capacity: 7/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2907, AID: 2, Miner finished mining Iron, current capacity: 8/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2934, AID: 2, Miner finished mining Copper, current capacity: 8/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2976, AID: 2, Miner finished mining Coal, current capacity: 8/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3084, AID: 1, Miner started mining Iron, current capacity: 8/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3103, AID: 1, Miner started mining Copper, current capacity: 8/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3150, AID: 1, Miner started mining Coal, current capacity: 8/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3261, AID: 2, Miner finished mining Iron, current capacity: 9/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3274, AID: 2, Miner finished mining Copper, current capacity: 9/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3325, AID: 2, Miner finished mining Coal, current capacity: 9/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3438, AID: 1, Miner started mining Iron, current capacity: 9/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3445, AID: 1, Miner started mining Copper, current capacity: 9/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3499, AID: 1, Miner started mining Coal, current capacity: 9/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3614, AID: 2, Miner finished mining Copper, current capacity: 10/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3614, AID: 2, Miner finished mining Iron, current capacity: 10/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3673, AID: 2, Miner finished mining Coal, current capacity: 10/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3786, AID: 1, Miner started mining Copper, current capacity: 10/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3818, AID: 1, Miner started mining Iron, current capacity: 10/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3848, AID: 1, Miner started mining Coal, current capacity: 10/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3957, AID: 2, Miner finished mining Copper, current capacity: 11/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4001, AID: 2, Miner finished mining Iron, current capacity: 11/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4021, AID: 2, Miner finished mining Coal, current capacity: 11/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4128, AID: 1, Miner started mining Copper, current capacity: 11/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4178, AID: 1, Miner started mining Iron, current capacity: 11/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4196, AID: 1, Miner started mining Coal, current capacity: 11/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4298, AID: 2, Miner finished mining Copper, current capacity: 12/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4355, AID: 2, Miner finished mining Iron, current capacity: 12/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4370, AID: 2, Miner finished mining Coal, current capacity: 12/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4468, AID: 1, Miner started mining Copper, current capacity: 12/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4531, AID: 1, Miner started mining Iron, current capacity: 12/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4544, AID: 1, Miner started mining Coal, current capacity: 12/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4637, AID: 2, Miner finished mining Copper, current capacity: 13/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4708, AID: 2, Miner finished mining Iron, current capacity: 13/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4717, AID: 2, Miner finished mining Coal, current capacity: 13/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4808, AID: 1, Miner started mining Copper, current capacity: 13/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4883, AID: 1, Miner started mining Iron, current capacity: 13/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4890, AID: 1, Miner started mining Coal, current capacity: 13/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4978, AID: 2, Miner finished mining Copper, current capacity: 14/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5047, AID: 2, Miner finished mining Iron, current capacity: 14/20.
