ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 108, AID: 0, Miner created.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 177, AID: 1, Miner started mining Iron, current capacity: 0/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 124, AID: 0, Miner created.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 218, AID: 1, Miner started mining Copper, current capacity: 0/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 159, AID: 0, Miner created.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 0, time stamp: 238, AID: 4, Transporter created.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 239, AID: 1, Miner started mining Coal, current capacity: 0/20.
ThreadID: 00a73ce6827f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 293, AID: 13, Foundry created.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 371, AID: 2, Miner finished mining Iron, current capacity: 1/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 378, AID: 2, Miner finished mining Copper, current capacity: 1/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 422, AID: 2, Miner finished mining Coal, current capacity: 1/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 541, AID: 1, Miner started mining Copper, current capacity: 1/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 542, AID: 1, Miner started mining Iron, current capacity: 1/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 581, AID: 1, Miner started mining Coal, current capacity: 1/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 704, AID: 2, Miner finished mining Copper, current capacity: 2/20.
